CM,KT,TH,ZC,estado,lat,lon,municipio,KT_nome,TH_nome,CM_nome
54.0,5.0,3.0,6801.0,Parana,-25.88404703372891,-53.64082875724508,Bela Vista Da Caroba,Cfa,B3,ST-SB
64.0,5.0,6.0,7701.0,Parana,-23.53820016367401,-53.825423663000905,ALTO PARAISO,Cfa,C2 (Subúmido),ST-SB  
54.0,5.0,6.0,7601.0,Parana,-23.311363440723596,-50.30617559636987,Abatia,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.78198572393535,-48.81938139185752,Adrianopolis,Cfa,B2,ST-SB
44.0,6.0,3.0,6801.0,Parana,-26.025500944348547,-49.30915503163259,Agudos Do Sul,Cfb,B3,TE-SB
44.0,6.0,2.0,6801.0,Parana,-25.284879262939167,-49.32279352221987,Almirante Tamandare,Cfb,B4,TE-SB
54.0,5.0,4.0,6801.0,Parana,-24.81271986316362,-52.69190706204459,Altamira Do Parana,Cfa,B2,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.075624088388185,-52.32303483177894,Alto Parana,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.096849470181574,-53.401071102162526,Alto Piquiri,Cfa,B1,ST-SB
54.0,5.0,6.0,7701.0,Parana,-23.876836349520453,-53.974932192088026,Altonia,Cfa,C2 (Subúmido),ST-SB
64.0,3.0,6.0,7601.0,Parana,-22.80922893558029,-51.25530154606044,Alvorada Do Sul,BSh,C2 (Subúmido),TR-SB
54.0,5.0,6.0,7501.0,Parana,-23.126876710233294,-52.8333538472672,Amapora,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.917283996956755,-53.48086809030535,Ampere,Cfa,B3,ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.687080113934048,-53.08655087063656,Anahy,Cfa,B2,ST-SB
64.0,5.0,6.0,7601.0,Parana,-23.01718055051018,-50.27099665255532,Andira,Cfa,C2 (Subúmido),TR-SB
54.0,5.0,6.0,7601.0,Parana,-23.19104998532254,-51.91753450172287,Angulo,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,2.0,7901.0,Parana,-25.297100885708645,-48.724466527399194,Antonina,Cfa,B4,ST-SB
44.0,6.0,4.0,6701.0,Parana,-25.96009381969834,-50.12756374361736,Antonio Olinto,Cfb,B2,TE-SB
54.0,5.0,5.0,7701.0,Parana,-23.57170063598918,-51.445688676940875,Apucarana,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.43956963527952,-51.43083876311044,Arapongas,Cfa,B1,ST-SB
54.0,5.0,5.0,6701.0,Parana,-24.095755998577165,-49.97129056843969,Arapoti,Cfa,B1,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.342889523651873,-51.81722970490522,Arapua,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.95506448944045,-52.576466981472535,Araruna,Cfa,B1,ST-SB
44.0,6.0,4.0,6701.0,Parana,-25.604969936681382,-49.44231491033618,Araucaria,Cfb,B2,TE-SB
54.0,5.0,5.0,7801.0,Parana,-24.376993236989666,-51.53702162149531,Ariranha Do Ivai,Cfa,B1,ST-SB
54.0,5.0,5.0,7601.0,Parana,-23.407406302644542,-50.87466862808969,Assai,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.42580258623949,-53.58351313409039,Assis Chateaubriand,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.249470863065923,-51.69896029598928,Astorga,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.12802687944233,-52.0638700653777,Atalaia,Cfa,C2 (Subúmido),ST-SB
44.0,6.0,4.0,6801.0,Parana,-25.518045960709433,-49.69338755907608,Balsa Nova,Cfb,B2,TE-SB
54.0,5.0,6.0,7601.0,Parana,-23.159503330307782,-50.346271061388386,Bandeirantes,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.075758318247303,-52.03864893883746,Barbosa Ferraz,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.10506013380549,-50.1593385850829,Barra Do Jacare,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,3.0,6901.0,Parana,-26.241908430713966,-53.519212482667626,Barracao,Cfa,B3,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.880407446406785,-53.63361857818678,Bela Vista Do Caroba,Cfa,B3,ST-SB
64.0,3.0,6.0,7601.0,Parana,-23.00413808718452,-51.23480342228881,Bela Vista Do Paraiso,BSh,C2 (Subúmido),TR-SB
44.0,6.0,3.0,5901.0,Parana,-26.170427998184792,-51.52454412973263,Bituruna,Cfb,B3,TE-SB
54.0,5.0,5.0,7701.0,Parana,-24.255841644600213,-52.747322857525695,Boa Esperanca,Cfa,B1,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.639586036122544,-53.225372443202986,Boa Esperanca Do Iguacu,Cfa,B3,ST-SB
54.0,6.0,4.0,6801.0,Parana,-24.85672317507604,-51.56843653231792,Boa Ventura De Sao Roque,Cfb,B2,ST-SB
54.0,5.0,4.0,7801.0,Parana,-25.43266098078551,-53.42118635347359,Boa Vista Da Aparecida,Cfa,B2,ST-SB
54.0,6.0,2.0,6801.0,Parana,-25.114230004894996,-48.93272682020478,Bocaiuva Do Sul,Cfb,B4,ST-SB
54.0,5.0,3.0,6901.0,Parana,-26.159463843088123,-53.558840856194564,Bom Jesus Do Sul,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.71266702285502,-51.82362800284434,Bom Sucesso,Cfa,B1,ST-SB
54.0,5.0,3.0,6801.0,Parana,-26.084413561472672,-52.83758885653265,Bom Sucesso Do Sul,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.938595016521305,-51.589836154016155,Borrazopolis,Cfa,B1,ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.805170453203203,-53.091972801765934,Braganey,Cfa,B2,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.166286313334595,-53.5402438695913,Brasilandia Do Sul,Cfa,B1,ST-SB
64.0,3.0,6.0,7601.0,Parana,-22.810681847610088,-51.71224159334099,Cafeara,BSh,C2 (Subúmido),TR-SB
54.0,5.0,4.0,6801.0,Parana,-24.698163552252915,-53.366233654521075,Cafelandia,Cfa,B2,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.981440242980874,-53.57535063961108,Cafezal Do Sul,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.66737619258017,-51.334323327272344,California,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-22.996351533747795,-50.083796033264356,Cambara,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.180489859512114,-51.28425743320313,Cambe,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.631043773817918,-51.56584125869474,Cambira,Cfa,B1,ST-SB
54.0,5.0,4.0,7801.0,Parana,-24.60777679062426,-52.78275947275158,Campina Da Lagoa,Cfa,B2,ST-SB
44.0,6.0,3.0,6901.0,Parana,-25.13060458649609,-51.78031643622133,Campina Do Simao,Cfb,B3,TE-SB
54.0,5.0,2.0,6901.0,Parana,-25.185792861539486,-48.84433052479307,Campina Grande Do Sul,Cfa,B4,ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.931120798371616,-53.01374204441723,Campo Bonito,Cfa,B2,ST-SB
44.0,6.0,4.0,6701.0,Parana,-25.97729785910995,-49.65590425492028,Campo Do Tenente,Cfb,B2,TE-SB
54.0,6.0,3.0,6801.0,Parana,-25.292319229775877,-49.61967781933465,Campo Largo,Cfb,B3,ST-SB
54.0,6.0,3.0,6801.0,Parana,-25.286641276869897,-49.46574350541317,Campo Magro,Cfb,B3,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.104511030961483,-52.38005136675874,Campo Mourao,Cfa,B1,ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.642279670996388,-51.25757478146409,Candido De Abreu,Cfa,B2,ST-SB
54.0,6.0,3.0,6801.0,Parana,-25.521215911142423,-52.01984808182168,Candoi,Cfb,B3,ST-SB
54.0,6.0,3.0,6801.0,Parana,-25.286274034580636,-52.132626865056906,Cantagalo,Cfb,B3,ST-SB
54.0,5.0,4.0,7801.0,Parana,-25.609641770709448,-53.76193853124615,Capanema,Cfa,B2,ST-SB
54.0,5.0,4.0,7801.0,Parana,-25.48368607949452,-53.58959506130368,Capitao Leonidas Marques,Cfa,B2,ST-SB
44.0,6.0,4.0,6801.0,Parana,-24.89276250078533,-50.151090599312745,Carambei,Cfb,B2,TE-SB
54.0,5.0,6.0,7601.0,Parana,-23.45859835220994,-49.71195941215549,Carlopolis,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,4.0,6801.0,Parana,-25.03059492414602,-53.3811164505534,Cascavel,Cfa,B2,ST-SB
44.0,6.0,3.0,6801.0,Parana,-24.798786564748468,-49.8414261016661,Castro,Cfb,B3,TE-SB
54.0,5.0,4.0,6801.0,Parana,-25.243098645680288,-53.156368586127456,Catanduvas,Cfa,B2,ST-SB
64.0,3.0,6.0,7601.0,Parana,-22.809870919748484,-51.56448307662657,Centenario Do Sul,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,6701.0,Parana,-24.87500082181302,-49.27871513434264,Cerro Azul,Cfa,B1,ST-SB
54.0,5.0,4.0,7801.0,Parana,-25.242251208044877,-53.762644702530636,Ceu Azul,Cfa,B2,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.810745228939496,-52.45577030351382,Chopinzinho,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.726894618385938,-52.626464770574465,Cianorte,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.381304832844673,-52.95839369159364,Cidade Gaucha,Cfa,C2 (Subúmido),ST-SB
44.0,6.0,2.0,6901.0,Parana,-26.344120388574638,-52.35717733650711,Clevelandia,Cfb,B4,TE-SB
44.0,6.0,2.0,6801.0,Parana,-25.315455270484506,-49.1766589642582,Colombo,Cfb,B4,TE-SB
64.0,3.0,6.0,7601.0,Parana,-22.83539872000621,-51.96962767100713,Colorado,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7701.0,Parana,-23.604334400216025,-50.50400364428752,Congonhinhas,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.592972298516298,-50.12680335282696,Conselheiro Mairinck,Cfa,B1,ST-SB
44.0,6.0,4.0,6701.0,Parana,-25.723965479929227,-49.519246042687584,Contenda,Cfb,B2,TE-SB
54.0,5.0,4.0,6801.0,Parana,-24.74487683797181,-53.238214440192024,Corbelia,Cfa,B2,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.227095088681317,-50.62060276248493,Cornelio Procopio,Cfa,C2 (Subúmido),ST-SB
44.0,6.0,3.0,5901.0,Parana,-26.180299369769276,-51.92457184630248,Coronel Domingos Soares,Cfb,B3,TE-SB
54.0,5.0,3.0,6801.0,Parana,-25.99364659762484,-52.56281647951831,Coronel Vivida,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.12944351515861,-52.143603470766536,Corumbatai Do Sul,Cfa,B1,ST-SB
44.0,6.0,3.0,6801.0,Parana,-25.922051190088446,-51.23186226588281,Cruz Machado,Cfb,B3,TE-SB
54.0,5.0,3.0,6801.0,Parana,-25.594876417029532,-53.12917203925363,Cruzeiro Do Iguacu,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.755551865971494,-53.08421064348642,Cruzeiro Do Oeste,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-22.987194495150863,-52.161861262203345,Cruzeiro Do Sul,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.02093011012163,-51.47562183964224,Cruzmaltina,Cfa,B1,ST-SB
54.0,6.0,3.0,6801.0,Parana,-25.475931521073555,-49.28904245544162,Curitiba,Cfb,B3,ST-SB
54.0,5.0,5.0,6701.0,Parana,-24.0109366048826,-50.465550184463595,Curiuva,Cfa,B1,ST-SB
54.0,5.0,4.0,7801.0,Parana,-24.954290982333024,-54.10046431039312,Diamante D'oeste,Cfa,B2,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.635516822556237,-52.89242179629403,Diamante Do Norte,BSh,C2 (Subúmido),TR-SB
54.0,5.0,4.0,6801.0,Parana,-24.990223729869204,-52.70384168835956,Diamante Do Sul,Cfa,B2,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.749351908921057,-53.07473959626724,Dois Vizinhos,Cfa,B3,ST-SB
64.0,5.0,6.0,7601.0,Parana,-23.34692260012622,-53.28861422007859,Douradina,Cfa,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7601.0,Parana,-23.56083710366656,-52.21434843407629,Doutor Camargo,Cfa,B1,ST-SB
54.0,5.0,4.0,6701.0,Parana,-24.62598992202382,-49.3924326849088,Doutor Ulysses,Cfa,B2,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.905622044514214,-53.153370429540885,Eneas Marques,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.760185230760662,-52.27046846193075,Engenheiro Beltrao,Cfa,B1,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.714330659166563,-54.222328171296624,Entre Rios Do Oeste,Cfa,B1,ST-SB
54.0,5.0,6.0,7701.0,Parana,-23.71361290476925,-53.79727407455307,Esperanca Nova,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,4.0,6801.0,Parana,-25.33573743038424,-52.777082780458926,Espigao Alto Do Iguacu,Cfa,B2,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.12339393108501,-52.62837584785618,Farol,Cfa,B1,ST-SB
54.0,5.0,4.0,6801.0,Parana,-24.00151989916534,-51.2893892834954,Faxinal,Cfa,B2,ST-SB
44.0,6.0,4.0,6801.0,Parana,-25.676739750033015,-49.29785938300393,Fazenda Rio Grande,Cfb,B2,TE-SB
54.0,5.0,5.0,7701.0,Parana,-23.901250095054166,-52.02949395607461,Fenix,Cfa,B1,ST-SB
44.0,6.0,4.0,6801.0,Parana,-25.516460616254943,-50.50851453710705,Fernandes Pinheiro,Cfb,B2,TE-SB
54.0,5.0,5.0,7701.0,Parana,-23.87240112398465,-50.4272820594778,Figueira,Cfa,B1,ST-SB
54.0,5.0,3.0,6901.0,Parana,-26.236910296884492,-53.2925677280211,Flor Da Serra Do Sul,Cfa,B3,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.33317560046541,-52.349710773476744,Florai,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.606516686277804,-52.089797134907606,Floresta,Cfa,B1,ST-SB
64.0,3.0,6.0,7601.0,Parana,-22.89294647247548,-51.40190695450569,Florestopolis,BSh,C2 (Subúmido),TR-SB
54.0,5.0,6.0,7601.0,Parana,-23.105434159161828,-51.95624094350901,Florida,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.292106020379748,-53.3304532138829,Formosa Do Oeste,Cfa,B1,ST-SB
54.0,5.0,4.0,7801.0,Parana,-25.468547149845485,-54.4827058508401,Foz Do Iguacu,Cfa,B2,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.696728602781324,-52.08832534684947,Foz Do Jordao,Cfa,B3,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.09438074360406,-53.87201277466058,Francisco Alves,Cfa,B1,ST-SB
54.0,5.0,3.0,6801.0,Parana,-26.048664449575746,-53.131155930609474,Francisco Beltrao,Cfa,B3,ST-SB
44.0,6.0,3.0,5901.0,Parana,-26.472811855673562,-51.39203762659111,General Carneiro,Cfb,B3,TE-SB
54.0,5.0,5.0,7701.0,Parana,-24.158872087837437,-51.90720773298685,Godoy Moreira,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.16750031950271,-53.05301114275376,Goioere,Cfa,B1,ST-SB
54.0,6.0,3.0,6801.0,Parana,-25.12621514814969,-51.9952330707141,Goioxim,Cfb,B3,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.188545886161087,-51.44716565359191,Grandes Rios,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.210772510630115,-54.23458716122105,Guaira,Cfa,B1,ST-SB
54.0,5.0,6.0,7501.0,Parana,-22.922025138365115,-52.73962169053737,Guairaca,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,4.0,6801.0,Parana,-25.157754973770118,-50.854604265727794,Guamiranga,Cfa,B2,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.46733430031522,-50.07635818966121,Guapirama,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.325366908400305,-52.82707701771578,Guaporema,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,6.0,7601.0,Parana,-22.959513069176346,-51.682801081803454,Guaraci,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,4.0,6801.0,Parana,-25.053965481415684,-52.863529071688845,Guaraniacu,Cfa,B2,ST-SB
44.0,6.0,3.0,6801.0,Parana,-25.375229558663133,-51.48930527843669,Guarapuava,Cfb,B3,TE-SB
54.0,5.0,1.0,7901.0,Parana,-25.21115704753116,-48.37212654306221,Guaraquecaba,Cfa,A (Superúmido),ST-SB
54.0,5.0,2.0,7901.0,Parana,-25.817112222586722,-48.768703968383285,Guaratuba,Cfa,B4,ST-SB
44.0,6.0,3.0,6901.0,Parana,-26.149497334747323,-52.36754596186116,Honorio Serpa,Cfb,B3,TE-SB
54.0,5.0,5.0,7701.0,Parana,-23.779624427202307,-50.28545730625726,Ibaiti,Cfa,B1,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.148534574409382,-53.02839089251902,Ibema,Cfa,B3,ST-SB
64.0,3.0,6.0,7601.0,Parana,-23.236483431848598,-51.03732973723453,Ibipora,BSh,C2 (Subúmido),TR-SB
64.0,5.0,6.0,7601.0,Parana,-23.37249201134564,-53.585082437441635,Icaraima,Cfa,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7701.0,Parana,-23.226129326525676,-51.84596722252237,Iguaracu,Cfa,B1,ST-SB
54.0,5.0,4.0,7801.0,Parana,-24.640712035719883,-53.142560277056994,Iguatu,Cfa,B2,ST-SB
54.0,5.0,5.0,6701.0,Parana,-24.437896298326205,-50.74069708909645,Imbau,Cfa,B1,ST-SB
54.0,6.0,4.0,6801.0,Parana,-25.226114088071586,-50.66341035724357,Imbituva,Cfb,B2,ST-SB
44.0,6.0,3.0,6801.0,Parana,-25.63593122804986,-51.196735639681435,Inacio Martins,Cfb,B3,TE-SB
64.0,3.0,6.0,7501.0,Parana,-22.71802685121704,-52.22496790567565,Inaja,BSh,C2 (Subúmido),TR-SB
54.0,5.0,6.0,7601.0,Parana,-23.485350737646783,-52.67264272160392,Indianopolis,Cfa,C2 (Subúmido),ST-SB
54.0,6.0,4.0,6801.0,Parana,-24.992698410133375,-50.58877329542006,Ipiranga,Cfb,B2,ST-SB
54.0,5.0,6.0,7701.0,Parana,-24.029550086112977,-53.73600304553298,Ipora,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.438120130846425,-53.35043287685951,Iracema Do Oeste,Cfa,B1,ST-SB
44.0,6.0,4.0,6801.0,Parana,-25.488308031279082,-50.824628312212255,Irati,Cfb,B2,TE-SB
54.0,5.0,5.0,7701.0,Parana,-24.35097459534644,-52.10948658165817,Iretama,Cfa,B1,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.662326593975237,-51.96582518145069,Itaguaje,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7801.0,Parana,-25.154255889199483,-54.357370919348654,Itaipulandia,Cfa,B1,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.982213807237212,-50.413446127778954,Itambaraca,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7701.0,Parana,-23.706142289284806,-52.00775339259462,Itambe,Cfa,B1,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.98535024064649,-52.82169902504558,Itapejara D'oeste,Cfa,B3,ST-SB
54.0,5.0,3.0,6801.0,Parana,-25.11332069080215,-49.49813897053859,Itaperucu,Cfa,B3,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.72994318563744,-52.898189183731226,Itauna Do Sul,BSh,C2 (Subúmido),TR-SB
54.0,5.0,4.0,6801.0,Parana,-24.98524054857438,-50.85975548095329,Ivai,Cfa,B2,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.28276935826044,-51.628707412589165,Ivaipora,Cfa,B1,ST-SB
64.0,5.0,6.0,7601.0,Parana,-23.352801282722577,-53.42341775271692,Ivate,Cfa,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7601.0,Parana,-23.599997802588607,-52.178519445723055,Ivatuba,Cfa,B1,ST-SB
54.0,5.0,5.0,7601.0,Parana,-23.71714259516955,-50.07927591748506,Jaboti,Cfa,B1,ST-SB
54.0,5.0,6.0,7701.0,Parana,-23.148715655108536,-49.947483864199135,Jacarezinho,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,6.0,7701.0,Parana,-23.06404709446659,-51.5586578244749,Jaguapita,Cfa,C2 (Subúmido),ST-SB
44.0,6.0,4.0,6801.0,Parana,-24.33050570214775,-49.69713544995618,Jaguariaiva,Cfb,B2,TE-SB
54.0,5.0,5.0,7701.0,Parana,-23.627321666999116,-51.68376885555225,Jandaia Do Sul,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.124716570794973,-52.80890274268534,Janiopolis,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.727900916091063,-50.16309247352929,Japira,Cfa,B1,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.437504331957562,-52.54066837521887,Japura,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.205535077940837,-51.771098245586934,Jardim Alegre,Cfa,B1,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.573332004450407,-52.07864191017627,Jardim Olinda,BSh,C2 (Subúmido),TR-SB
64.0,3.0,6.0,7601.0,Parana,-23.254059212363988,-50.918317432184665,Jataizinho,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7701.0,Parana,-24.422291852351684,-53.40874964429361,Jesuitas,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.45587747189505,-49.9096460775699,Joaquim Tavora,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.47798383839353,-50.22931003666097,Jundiai Do Sul,Cfa,B1,ST-SB
54.0,5.0,5.0,7801.0,Parana,-24.398934113974104,-52.83820057267146,Juranda,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.63623030109599,-52.445896921512,Jussara,Cfa,B1,ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.856472002485635,-51.68932469691415,Kalore,Cfa,B1,ST-SB
44.0,6.0,4.0,6701.0,Parana,-25.7697168531774,-49.871328136269895,Lapa,Cfb,B2,TE-SB
54.0,5.0,4.0,6801.0,Parana,-24.9156009459136,-52.46094469857031,Laranjal,Cfa,B2,ST-SB
54.0,6.0,3.0,6801.0,Parana,-25.35416949112029,-52.379708320703024,Laranjeiras Do Sul,Cfb,B3,ST-SB
64.0,3.0,6.0,7501.0,Parana,-23.02976513143677,-50.71310435242704,Leopolis,BSh,C2 (Subúmido),TR-SB
54.0,5.0,5.0,7701.0,Parana,-24.09217119599259,-51.638989946289485,Lidianopolis,Cfa,B1,ST-SB
54.0,5.0,4.0,6801.0,Parana,-25.263021757557613,-53.55563272194924,Lindoeste,Cfa,B2,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.948605231136582,-53.07088685744033,Loanda,BSh,C2 (Subúmido),TR-SB
54.0,5.0,6.0,7601.0,Parana,-22.981159147178275,-51.9868947419154,Lobato,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.523450999935303,-51.105333907732145,Londrina,Cfa,B1,ST-SB
54.0,5.0,4.0,7801.0,Parana,-24.34587618410784,-52.32940202867372,Luiziana,Cfa,B2,ST-SB
54.0,5.0,5.0,7701.0,Parana,-24.07732261791466,-51.76842119909213,Lunardelli,Cfa,B1,ST-SB
64.0,3.0,6.0,7501.0,Parana,-22.727298202199616,-51.66426783477265,Lupionopolis,BSh,C2 (Subúmido),TR-SB
44.0,6.0,3.0,6801.0,Parana,-25.880128729967364,-50.85749384663945,Mallet,Cfb,B3,TE-SB
54.0,5.0,4.0,6801.0,Parana,-24.35691278935189,-52.58290034583252,Mambore,Cfa,B2,ST-SB
54.0,5.0,6.0,7601.0,Parana,-23.278335993982942,-52.05491235134879,Mandaguacu,Cfa,C2 (Subúmido),ST-SB
54.0,5.0,5.0,7701.0,Parana,-23.48174549937634,-51.70610375247446,Mandaguari,Cfa,B1,ST-SB
44.0,6.0,4.0,6801.0,Parana,-25.83850906933468,-49.317847391825154,Mandirituba,Cfb,B2,TE-SB
